Comment,Designator,Footprint,LCSC Part #
1k,R3 R4 R5,R1206,
1u,C2 C3 C5,C1206,
2u,C4 C7,C1206,
10k,R2,R1206,
33k,R1,R1206,
100n,C1,C1206,
CGRM4001-G,D1,SOD-123_MINI-SMA,
MCP1703CB,IC1,SOT23,
