Designator,Mid X,Mid Y,Layer,Rotation
C1,26.67,22.86,Top,90.0
C2,26.67, 3.81,Top,90.0
C3,12.70,24.77,Top,0.0
C4,36.83,26.67,Top,270.0
C5, 5.71,24.77,Top,0.0
C7, 8.89, 9.53,Top,90.0
D1,11.43,40.64,Top,270.0
IC1, 5.08,28.58,Top,270.0
R1,15.24,40.64,Top,270.0
R2,19.05,40.64,Top,270.0
R3,30.48,41.91,Top,270.0
R4,39.37,41.91,Top,270.0
R5,45.72,41.91,Top,270.0
